MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
RANDOM-FOREST;DIGITS;20;40;40;2;2;ACCURACY;0.9107704079077288;0.011904432896579262
RANDOM-FOREST;DIGITS;20;40;40;2;2;AUC_MACRO;0.9919237768867276;0.00155482929006154
RANDOM-FOREST;DIGITS;20;40;40;2;2;AUC_WEIGHTED;0.9918659308030402;0.0015746773874798028
RANDOM-FOREST;DIGITS;20;40;40;2;2;F1_MACRO;0.9098987203750986;0.01177856284122828
RANDOM-FOREST;DIGITS;20;40;40;2;2;F1_WEIGHTED;0.9098687164495156;0.012209766750094655
NEURAL-NETWORK;DIGITS;20;40;40;2;2;ACCURACY;0.9075381273164379;0.02208637321544122
NEURAL-NETWORK;DIGITS;20;40;40;2;2;AUC_MACRO;0.992132669841409;0.0024831506401686333
NEURAL-NETWORK;DIGITS;20;40;40;2;2;AUC_WEIGHTED;0.992073784479081;0.002591408696064325
NEURAL-NETWORK;DIGITS;20;40;40;2;2;F1_MACRO;0.9073713612225931;0.022647338785657622
NEURAL-NETWORK;DIGITS;20;40;40;2;2;F1_WEIGHTED;0.9070194064340151;0.022669404238758507
KMEANS-RF;DIGITS;20;40;40;2;2;ACCURACY;0.9153051258568137;0.00522167353798519
KMEANS-RF;DIGITS;20;40;40;2;2;AUC_MACRO;0.991752807168852;0.0008048146898711859
KMEANS-RF;DIGITS;20;40;40;2;2;AUC_WEIGHTED;0.9916876789709377;0.000800005942865772
KMEANS-RF;DIGITS;20;40;40;2;2;F1_MACRO;0.914700951548776;0.004969662902981867
KMEANS-RF;DIGITS;20;40;40;2;2;F1_WEIGHTED;0.914692717793996;0.005235680134323359
LADDER-NETWORK;DIGITS;20;40;40;2;2;ACCURACY;0.7249068952934274;0.025413617648258686
LADDER-NETWORK;DIGITS;20;40;40;2;2;AUC_MACRO;0.9606501270052414;0.006137660101126659
LADDER-NETWORK;DIGITS;20;40;40;2;2;AUC_WEIGHTED;0.9605396895297876;0.006202438115077417
LADDER-NETWORK;DIGITS;20;40;40;2;2;F1_MACRO;0.7201334937744859;0.028665113522259998
LADDER-NETWORK;DIGITS;20;40;40;2;2;F1_WEIGHTED;0.7195224053114601;0.02813079699135585
LABEL-SPREADING;DIGITS;20;40;40;2;2;ACCURACY;0.9841091462629327;0.004502111658035123
LABEL-SPREADING;DIGITS;20;40;40;2;2;AUC_MACRO;0.9992527141793502;0.00073572296439652
LABEL-SPREADING;DIGITS;20;40;40;2;2;AUC_WEIGHTED;0.9992437299723971;0.0007276200726941902
