FOLD;SAMPLE;PERC_UNLA;MODEL;METRIC;VALUE
1;1;5;RANDOM-FOREST;ACCURACY;0.6555863342566943
1;1;5;RANDOM-FOREST;AUC_MACRO;0.9304032574853613
1;1;5;RANDOM-FOREST;AUC_WEIGHTED;0.9308164500036138
1;1;5;RANDOM-FOREST;F1_MACRO;0.6259250961963577
1;1;5;RANDOM-FOREST;F1_WEIGHTED;0.6244025018593194
1;1;5;NEURAL-NETWORK;ACCURACY;0.17266851338873498
1;1;5;NEURAL-NETWORK;AUC_MACRO;0.6893653864993409
1;1;5;NEURAL-NETWORK;AUC_WEIGHTED;0.6953019988365863
1;1;5;NEURAL-NETWORK;F1_MACRO;0.08550460125077344
1;1;5;NEURAL-NETWORK;F1_WEIGHTED;0.0881135570257271
1;1;5;KMEANS-RF;ACCURACY;0.7192982456140351
1;1;5;KMEANS-RF;AUC_MACRO;0.9515722147230126
1;1;5;KMEANS-RF;AUC_WEIGHTED;0.9523765369049421
1;1;5;KMEANS-RF;F1_MACRO;0.6729346400037322
1;1;5;KMEANS-RF;F1_WEIGHTED;0.6756294929127475
1;1;5;LADDER-NETWORK;ACCURACY;0.5484764542936288
1;1;5;LADDER-NETWORK;AUC_MACRO;0.9000079932108639
1;1;5;LADDER-NETWORK;AUC_WEIGHTED;0.8998836775634944
1;1;5;LADDER-NETWORK;F1_MACRO;0.4726266021197484
1;1;5;LADDER-NETWORK;F1_WEIGHTED;0.47764567952101883
1;1;10;RANDOM-FOREST;ACCURACY;0.6555863342566943
1;1;10;RANDOM-FOREST;AUC_MACRO;0.9304032574853613
1;1;10;RANDOM-FOREST;AUC_WEIGHTED;0.9308164500036138
1;1;10;RANDOM-FOREST;F1_MACRO;0.6259250961963577
1;1;10;RANDOM-FOREST;F1_WEIGHTED;0.6244025018593194
1;1;10;NEURAL-NETWORK;ACCURACY;0.17266851338873498
1;1;10;NEURAL-NETWORK;AUC_MACRO;0.6893653864993409
1;1;10;NEURAL-NETWORK;AUC_WEIGHTED;0.6953019988365863
1;1;10;NEURAL-NETWORK;F1_MACRO;0.08550460125077344
1;1;10;NEURAL-NETWORK;F1_WEIGHTED;0.0881135570257271
1;1;10;KMEANS-RF;ACCURACY;0.7673130193905817
1;1;10;KMEANS-RF;AUC_MACRO;0.9678543486115492
1;1;10;KMEANS-RF;AUC_WEIGHTED;0.966836461758836
1;1;10;KMEANS-RF;F1_MACRO;0.7599804952408669
1;1;10;KMEANS-RF;F1_WEIGHTED;0.7564279709891096
1;1;10;LADDER-NETWORK;ACCURACY;0.5974145891043398
1;1;10;LADDER-NETWORK;AUC_MACRO;0.9226401918240091
1;1;10;LADDER-NETWORK;AUC_WEIGHTED;0.9234579070237738
