MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
LADDER-NETWORK;CREDIT_CARDS;20;79.9;0.01;2;2;F1_WEIGHTED;0.6440189590673498;0.024938880225904965
LABEL-SPREADING;CREDIT_CARDS;20;79.9;0.01;2;2;ACCURACY;0.6358672890013428;0.06304279805363285
LABEL-SPREADING;CREDIT_CARDS;20;79.9;0.01;2;2;AUC_MACRO;0.5025593874526533;0.05792362134991468
LABEL-SPREADING;CREDIT_CARDS;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5025593874526533;0.05792362134991468
LABEL-SPREADING;CREDIT_CARDS;20;79.9;0.01;2;2;F1_MACRO;0.49756232967057645;0.02644876786076146
LABEL-SPREADING;CREDIT_CARDS;20;79.9;0.01;2;2;F1_WEIGHTED;0.6426355982940555;0.037064394030082465
RANDOM-FOREST;SPLICE;20;79.9;0.01;2;2;ACCURACY;0.3177664945512719;0.052925556763063555
RANDOM-FOREST;SPLICE;20;79.9;0.01;2;2;AUC_MACRO;0.5740321848205534;0.04539388371065581
RANDOM-FOREST;SPLICE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5683152984000193;0.04382983641684658
RANDOM-FOREST;SPLICE;20;79.9;0.01;2;2;F1_MACRO;0.2924433933433275;0.05606661653636523
RANDOM-FOREST;SPLICE;20;79.9;0.01;2;2;F1_WEIGHTED;0.26455985453115755;0.0710979119166865
NEURAL-NETWORK;SPLICE;20;79.9;0.01;2;2;ACCURACY;0.2609096408512688;0.0560475234598493
NEURAL-NETWORK;SPLICE;20;79.9;0.01;2;2;AUC_MACRO;0.5229224647879924;0.03786903736065189
NEURAL-NETWORK;SPLICE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5170749457118672;0.030090250228949855
NEURAL-NETWORK;SPLICE;20;79.9;0.01;2;2;F1_MACRO;0.20115001713914887;0.09102703590653645
NEURAL-NETWORK;SPLICE;20;79.9;0.01;2;2;F1_WEIGHTED;0.17067468753394757;0.10161313622535005
KMEANS-RF;SPLICE;20;79.9;0.01;2;2;ACCURACY;0.5175868771807097;0.10216116596154662
KMEANS-RF;SPLICE;20;79.9;0.01;2;2;AUC_MACRO;0.7423327540069691;0.06966626070136167
KMEANS-RF;SPLICE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7413514732068418;0.08478231703459058
KMEANS-RF;SPLICE;20;79.9;0.01;2;2;F1_MACRO;0.5074097729102933;0.09021194939093811
KMEANS-RF;SPLICE;20;79.9;0.01;2;2;F1_WEIGHTED;0.5081751346663052;0.1169883973587148
LADDER-NETWORK;SPLICE;20;79.9;0.01;2;2;ACCURACY;0.3510215110795104;0.015638511732141213
LADDER-NETWORK;SPLICE;20;79.9;0.01;2;2;AUC_MACRO;0.5092075381854201;0.002736845351436171
LADDER-NETWORK;SPLICE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5075393472295452;0.0029784260677405603
LADDER-NETWORK;SPLICE;20;79.9;0.01;2;2;F1_MACRO;0.3445231219029338;0.01363111467792489
LADDER-NETWORK;SPLICE;20;79.9;0.01;2;2;F1_WEIGHTED;0.35761731322971674;0.016384853862183003
LABEL-SPREADING;SPLICE;20;79.9;0.01;2;2;ACCURACY;0.27235612691622924;0.00196976126611082
LABEL-SPREADING;SPLICE;20;79.9;0.01;2;2;AUC_MACRO;0.5004688199731303;0.0009376399462606155
LABEL-SPREADING;SPLICE;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5004584971290545;0.0009169942581091587
LABEL-SPREADING;SPLICE;20;79.9;0.01;2;2;F1_MACRO;0.14270340598433637;0.000811158538025519
LABEL-SPREADING;SPLICE;20;79.9;0.01;2;2;F1_WEIGHTED;0.11660203587944926;0.0015060469181450735
RANDOM-FOREST;LANDSAT;20;79.9;0.01;2;2;ACCURACY;0.45592917398552646;0.09525970831135719
RANDOM-FOREST;LANDSAT;20;79.9;0.01;2;2;AUC_MACRO;0.8092761857557744;0.07672062053515996
RANDOM-FOREST;LANDSAT;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7931546472956059;0.10451340205055866
RANDOM-FOREST;LANDSAT;20;79.9;0.01;2;2;F1_MACRO;0.4635076402385763;0.09137115677233981
RANDOM-FOREST;LANDSAT;20;79.9;0.01;2;2;F1_WEIGHTED;0.4439733265523055;0.09898889756289958
NEURAL-NETWORK;LANDSAT;20;79.9;0.01;2;2;ACCURACY;0.21412516791321556;0.10822051274999821
NEURAL-NETWORK;LANDSAT;20;79.9;0.01;2;2;AUC_MACRO;0.5701260043259064;0.06301560431882042
NEURAL-NETWORK;LANDSAT;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5706144522806548;0.07492302467715024
NEURAL-NETWORK;LANDSAT;20;79.9;0.01;2;2;F1_MACRO;0.10899101853253598;0.0673319826769673
NEURAL-NETWORK;LANDSAT;20;79.9;0.01;2;2;F1_WEIGHTED;0.12608587750119477;0.10327739188256965
KMEANS-RF;LANDSAT;20;79.9;0.01;2;2;ACCURACY;0.5390034541179467;0.10662863337208973
KMEANS-RF;LANDSAT;20;79.9;0.01;2;2;AUC_MACRO;0.8051781311740258;0.10036169550895717
KMEANS-RF;LANDSAT;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7891907171177881;0.1136703606510988
KMEANS-RF;LANDSAT;20;79.9;0.01;2;2;F1_MACRO;0.5461707696589689;0.1003927549303865
KMEANS-RF;LANDSAT;20;79.9;0.01;2;2;F1_WEIGHTED;0.5430382431415866;0.09800419069171233
LADDER-NETWORK;LANDSAT;20;79.9;0.01;2;2;ACCURACY;0.42290217713074507;0.06278815635050851
LADDER-NETWORK;LANDSAT;20;79.9;0.01;2;2;AUC_MACRO;0.7645232524688298;0.05535107393055289
LADDER-NETWORK;LANDSAT;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7564348936687846;0.06867012118327732
LADDER-NETWORK;LANDSAT;20;79.9;0.01;2;2;F1_MACRO;0.4015149711239406;0.053073829380729014
LADDER-NETWORK;LANDSAT;20;79.9;0.01;2;2;F1_WEIGHTED;0.4281362862156862;0.06922809443672995
LABEL-SPREADING;LANDSAT;20;79.9;0.01;2;2;ACCURACY;0.6169343229854309;0.12929611490561851
LABEL-SPREADING;LANDSAT;20;79.9;0.01;2;2;AUC_MACRO;0.8879490955561723;0.08475144041795382
LABEL-SPREADING;LANDSAT;20;79.9;0.01;2;2;AUC_WEIGHTED;0.8806846499468199;0.1070341156589925
LABEL-SPREADING;LANDSAT;20;79.9;0.01;2;2;F1_MACRO;0.6077323063086794;0.12235229231225908
LABEL-SPREADING;LANDSAT;20;79.9;0.01;2;2;F1_WEIGHTED;0.6158612847921006;0.1302991672997264
RANDOM-FOREST;LETTER;20;79.9;0.01;2;2;ACCURACY;0.19795763113988762;0.03620319907348937
RANDOM-FOREST;LETTER;20;79.9;0.01;2;2;AUC_MACRO;0.7034326479421891;0.017420374413809676
RANDOM-FOREST;LETTER;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7017955355991672;0.0179791914987999
RANDOM-FOREST;LETTER;20;79.9;0.01;2;2;F1_MACRO;0.19136343852575402;0.027074485385530637
RANDOM-FOREST;LETTER;20;79.9;0.01;2;2;F1_WEIGHTED;0.18922567756011063;0.027802240074235787
NEURAL-NETWORK;LETTER;20;79.9;0.01;2;2;ACCURACY;0.037680733495584026;0.005886456923102759
NEURAL-NETWORK;LETTER;20;79.9;0.01;2;2;AUC_MACRO;0.494915090220513;0.02064072157775363
NEURAL-NETWORK;LETTER;20;79.9;0.01;2;2;AUC_WEIGHTED;0.4921807385462071;0.02192244484642497
NEURAL-NETWORK;LETTER;20;79.9;0.01;2;2;F1_MACRO;0.006029705394841221;0.003776869925491334
NEURAL-NETWORK;LETTER;20;79.9;0.01;2;2;F1_WEIGHTED;0.005937088158584532;0.0038554137693953805
KMEANS-RF;LETTER;20;79.9;0.01;2;2;ACCURACY;0.2227977529809738;0.05197983063114434
KMEANS-RF;LETTER;20;79.9;0.01;2;2;AUC_MACRO;0.7132406110639239;0.04641799096689881
KMEANS-RF;LETTER;20;79.9;0.01;2;2;AUC_WEIGHTED;0.711368002785332;0.04758482404571806
KMEANS-RF;LETTER;20;79.9;0.01;2;2;F1_MACRO;0.2137030454336798;0.04716409528882142
KMEANS-RF;LETTER;20;79.9;0.01;2;2;F1_WEIGHTED;0.21210467887013437;0.047553639886889355
LADDER-NETWORK;LETTER;20;79.9;0.01;2;2;ACCURACY;0.1402413861719551;0.01978838485966899
LADDER-NETWORK;LETTER;20;79.9;0.01;2;2;AUC_MACRO;0.6784932243381709;0.021756503055938986
LADDER-NETWORK;LETTER;20;79.9;0.01;2;2;AUC_WEIGHTED;0.6760654912380504;0.022113092380082987
LADDER-NETWORK;LETTER;20;79.9;0.01;2;2;F1_MACRO;0.12878166852235068;0.019916860660687128
LADDER-NETWORK;LETTER;20;79.9;0.01;2;2;F1_WEIGHTED;0.12720178526064913;0.019320987864372908
LABEL-SPREADING;LETTER;20;79.9;0.01;2;2;ACCURACY;0.29132326154505517;0.015738698518005193
LABEL-SPREADING;LETTER;20;79.9;0.01;2;2;AUC_MACRO;0.7691252279686783;0.015206052707385755
LABEL-SPREADING;LETTER;20;79.9;0.01;2;2;AUC_WEIGHTED;0.7663511001632348;0.015388171588658043
LABEL-SPREADING;LETTER;20;79.9;0.01;2;2;F1_MACRO;0.3063993731063392;0.027508007659403092
