MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
RANDOM-FOREST;DIGITS;20;40.0;40.0;2;2;ACCURACY;0.9391748947814815;0.0025667742781193795
RANDOM-FOREST;DIGITS;20;40.0;40.0;2;2;AUC_MACRO;0.99633206882337;0.0004621779119745634
RANDOM-FOREST;DIGITS;20;40.0;40.0;2;2;AUC_WEIGHTED;0.9962661436687074;0.0004917080299483861
RANDOM-FOREST;DIGITS;20;40.0;40.0;2;2;F1_MACRO;0.9395458578633558;0.0027722589760981347
RANDOM-FOREST;DIGITS;20;40.0;40.0;2;2;F1_WEIGHTED;0.9391792864657992;0.0025644682666026283
NEURAL-NETWORK;DIGITS;20;40.0;40.0;2;2;ACCURACY;0.9682336091152042;0.007209987412544801
NEURAL-NETWORK;DIGITS;20;40.0;40.0;2;2;AUC_MACRO;0.9988995753776695;0.00037614973027776723
NEURAL-NETWORK;DIGITS;20;40.0;40.0;2;2;AUC_WEIGHTED;0.9988899277529112;0.00038444010673982824
NEURAL-NETWORK;DIGITS;20;40.0;40.0;2;2;F1_MACRO;0.9685682269909013;0.00729874045809498
NEURAL-NETWORK;DIGITS;20;40.0;40.0;2;2;F1_WEIGHTED;0.9682836180668287;0.007295741328609337
KMEANS-RF;DIGITS;20;40.0;40.0;2;2;ACCURACY;0.9328745859271231;0.004596866350122173
KMEANS-RF;DIGITS;20;40.0;40.0;2;2;AUC_MACRO;0.9961497017325265;0.0005174288125179311
KMEANS-RF;DIGITS;20;40.0;40.0;2;2;AUC_WEIGHTED;0.9960672569432575;0.0005821810015806904
KMEANS-RF;DIGITS;20;40.0;40.0;2;2;F1_MACRO;0.9333807784366278;0.003883310860159977
KMEANS-RF;DIGITS;20;40.0;40.0;2;2;F1_WEIGHTED;0.9329185695069806;0.004524266509503395
LADDER-NETWORK;DIGITS;20;40.0;40.0;2;2;ACCURACY;0.9547384339643777;0.010695681305919413
LADDER-NETWORK;DIGITS;20;40.0;40.0;2;2;AUC_MACRO;0.9976641833146156;0.0007429868292597601
LADDER-NETWORK;DIGITS;20;40.0;40.0;2;2;AUC_WEIGHTED;0.997606425545379;0.0007969121013746809
LADDER-NETWORK;DIGITS;20;40.0;40.0;2;2;F1_MACRO;0.9551570213644457;0.009934628337249275
LADDER-NETWORK;DIGITS;20;40.0;40.0;2;2;F1_WEIGHTED;0.9547559617109973;0.010548120912925594
LABEL-SPREADING;DIGITS;20;40.0;40.0;2;2;ACCURACY;0.9820800460881115;0.003398285656993596
LABEL-SPREADING;DIGITS;20;40.0;40.0;2;2;AUC_MACRO;0.9990864226924197;0.0003444897374139781
LABEL-SPREADING;DIGITS;20;40.0;40.0;2;2;AUC_WEIGHTED;0.9990578176047874;0.0003531201978276128
LABEL-SPREADING;DIGITS;20;40.0;40.0;2;2;F1_MACRO;0.982290128258184;0.0032372019115349286
LABEL-SPREADING;DIGITS;20;40.0;40.0;2;2;F1_WEIGHTED;0.9820811481814271;0.003393964673457907
RANDOM-FOREST;DIGITS;20;45.0;35.0;2;2;ACCURACY;0.9386844084558883;0.007496939117234781
RANDOM-FOREST;DIGITS;20;45.0;35.0;2;2;AUC_MACRO;0.99615642754964;0.0007090968325382485
RANDOM-FOREST;DIGITS;20;45.0;35.0;2;2;AUC_WEIGHTED;0.9960789086697812;0.0007492072897274761
RANDOM-FOREST;DIGITS;20;45.0;35.0;2;2;F1_MACRO;0.9389138417035809;0.007100386181845603
RANDOM-FOREST;DIGITS;20;45.0;35.0;2;2;F1_WEIGHTED;0.9386071519443597;0.007497602517220369
NEURAL-NETWORK;DIGITS;20;45.0;35.0;2;2;ACCURACY;0.9554357566931779;0.008123616798644845
NEURAL-NETWORK;DIGITS;20;45.0;35.0;2;2;AUC_MACRO;0.9981928381985151;0.00021093651767792738
NEURAL-NETWORK;DIGITS;20;45.0;35.0;2;2;AUC_WEIGHTED;0.9981982633657309;0.00019906194256981774
NEURAL-NETWORK;DIGITS;20;45.0;35.0;2;2;F1_MACRO;0.9552944261741827;0.008053914015746929
NEURAL-NETWORK;DIGITS;20;45.0;35.0;2;2;F1_WEIGHTED;0.9550380763193645;0.008598927139730372
KMEANS-RF;DIGITS;20;45.0;35.0;2;2;ACCURACY;0.9351013778425002;0.005694486243197572
KMEANS-RF;DIGITS;20;45.0;35.0;2;2;AUC_MACRO;0.9959947217095598;0.0006615629966810161
KMEANS-RF;DIGITS;20;45.0;35.0;2;2;AUC_WEIGHTED;0.9958972902161383;0.000727008296280366
KMEANS-RF;DIGITS;20;45.0;35.0;2;2;F1_MACRO;0.9357449771083586;0.004742411963183299
KMEANS-RF;DIGITS;20;45.0;35.0;2;2;F1_WEIGHTED;0.9350917363972971;0.005391799816860782
LADDER-NETWORK;DIGITS;20;45.0;35.0;2;2;ACCURACY;0.9507129254748836;0.01122980366653607
LADDER-NETWORK;DIGITS;20;45.0;35.0;2;2;AUC_MACRO;0.9973172022139553;0.00048191862331462763
LADDER-NETWORK;DIGITS;20;45.0;35.0;2;2;AUC_WEIGHTED;0.997266288881352;0.000555544547202278
LADDER-NETWORK;DIGITS;20;45.0;35.0;2;2;F1_MACRO;0.9509854100312299;0.01108797778559473
LADDER-NETWORK;DIGITS;20;45.0;35.0;2;2;F1_WEIGHTED;0.9503282350130593;0.011598697874426321
LABEL-SPREADING;DIGITS;20;45.0;35.0;2;2;ACCURACY;0.9825513290339098;0.0010401005928964123
LABEL-SPREADING;DIGITS;20;45.0;35.0;2;2;AUC_MACRO;0.9989811268838089;0.00043901403631322353
LABEL-SPREADING;DIGITS;20;45.0;35.0;2;2;AUC_WEIGHTED;0.9989465427139146;0.000452194259525407
LABEL-SPREADING;DIGITS;20;45.0;35.0;2;2;F1_MACRO;0.9827011851229392;0.0009478819367371176
LABEL-SPREADING;DIGITS;20;45.0;35.0;2;2;F1_WEIGHTED;0.9825310868714292;0.0010404918628846374
RANDOM-FOREST;DIGITS;20;50.0;30.0;2;2;ACCURACY;0.9369000944166174;0.005490136440521664
RANDOM-FOREST;DIGITS;20;50.0;30.0;2;2;AUC_MACRO;0.9959232214025235;0.0005344827948276062
RANDOM-FOREST;DIGITS;20;50.0;30.0;2;2;AUC_WEIGHTED;0.9958470031924173;0.0005827753912606581
RANDOM-FOREST;DIGITS;20;50.0;30.0;2;2;F1_MACRO;0.9370808468923665;0.005121301214025589
RANDOM-FOREST;DIGITS;20;50.0;30.0;2;2;F1_WEIGHTED;0.9367611598582138;0.005356727137621832
NEURAL-NETWORK;DIGITS;20;50.0;30.0;2;2;ACCURACY;0.9533389876618286;0.022894050617497563
NEURAL-NETWORK;DIGITS;20;50.0;30.0;2;2;AUC_MACRO;0.9984030412705693;0.0006793784397617301
