MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
KMEANS-RF;CIFAR;20.0;79.9;0.1;5;10;AUC_MACRO;0.5832867962102929;0.02961385304471806
KMEANS-RF;CIFAR;20.0;79.9;0.1;5;10;AUC_WEIGHTED;0.5841916337229351;0.030097324719009978
KMEANS-RF;CIFAR;20.0;79.9;0.1;5;10;F1_MACRO;0.11751099749948121;0.021090682420270276
KMEANS-RF;CIFAR;20.0;79.9;0.1;5;10;F1_WEIGHTED;0.11851803062941914;0.02140342504986147
KMEANS-RF;CIFAR;20.0;79.0;1.0;5;10;ACCURACY;0.18743357520871914;0.01988081842221496
KMEANS-RF;CIFAR;20.0;79.0;1.0;5;10;AUC_MACRO;0.6471529758595687;0.019350679580690384
KMEANS-RF;CIFAR;20.0;79.0;1.0;5;10;AUC_WEIGHTED;0.648043901636591;0.01936853185377589
KMEANS-RF;CIFAR;20.0;79.0;1.0;5;10;F1_MACRO;0.13907100800834787;0.021067532327595184
KMEANS-RF;CIFAR;20.0;79.0;1.0;5;10;F1_WEIGHTED;0.14054261705962776;0.021838351141611534
LADDER-NETWORK;CIFAR;20.0;40.0;40.0;5;10;ACCURACY;0.28243982155175934;0.012440513382831848
LADDER-NETWORK;CIFAR;20.0;40.0;40.0;5;10;AUC_MACRO;0.7516180617486095;0.007947206992067513
LADDER-NETWORK;CIFAR;20.0;40.0;40.0;5;10;AUC_WEIGHTED;0.7515997787424888;0.007227467069011069
LADDER-NETWORK;CIFAR;20.0;40.0;40.0;5;10;F1_MACRO;0.2737065286242497;0.013092901663091006
LADDER-NETWORK;CIFAR;20.0;40.0;40.0;5;10;F1_WEIGHTED;0.2731143005644452;0.012528768855590755
LADDER-NETWORK;CIFAR;20.0;45.0;35.0;5;10;ACCURACY;0.28198747122573015;0.010758934403726217
LADDER-NETWORK;CIFAR;20.0;45.0;35.0;5;10;AUC_MACRO;0.7542187419265164;0.0056108371391804445
LADDER-NETWORK;CIFAR;20.0;45.0;35.0;5;10;AUC_WEIGHTED;0.7540968684863174;0.005460678481859946
LADDER-NETWORK;CIFAR;20.0;45.0;35.0;5;10;F1_MACRO;0.27334881742357453;0.013060915910287256
LADDER-NETWORK;CIFAR;20.0;45.0;35.0;5;10;F1_WEIGHTED;0.2725175139368796;0.012415266384624153
LADDER-NETWORK;CIFAR;20.0;50.0;30.0;5;10;ACCURACY;0.2832901224529887;0.011584393168848453
LADDER-NETWORK;CIFAR;20.0;50.0;30.0;5;10;AUC_MACRO;0.7533242421952024;0.006850180579843539
