FOLD;SAMPLE;PERC_UNLA;MODEL;METRIC;VALUE
1;1;10;RANDOM-FOREST;F1_WEIGHTED;0.9210829966671302
1;1;10;NEURAL-NETWORK;F1_WEIGHTED;0.9448163660382317
1;1;10;KMEANS-RF;F1_WEIGHTED;0.9201921020965017
1;1;10;LADDER-NETWORK;F1_WEIGHTED;0.6676895811295385
1;1;10;LABEL-SPREADING;F1_WEIGHTED;0.9854204668299387
1;1;30;RANDOM-FOREST;F1_WEIGHTED;0.9210829966671302
1;1;30;NEURAL-NETWORK;F1_WEIGHTED;0.9366893722159868
1;1;30;KMEANS-RF;F1_WEIGHTED;0.9200739242320817
1;1;30;LADDER-NETWORK;F1_WEIGHTED;0.7290071595084775
1;1;30;LABEL-SPREADING;F1_WEIGHTED;0.9854204668299387
1;1;50;RANDOM-FOREST;F1_WEIGHTED;0.9210829966671302
1;1;50;NEURAL-NETWORK;F1_WEIGHTED;0.9439346212705582
1;1;50;KMEANS-RF;F1_WEIGHTED;0.9199449744294841
1;1;50;LADDER-NETWORK;F1_WEIGHTED;0.7097937360972236
1;1;50;LABEL-SPREADING;F1_WEIGHTED;0.9854204668299387
1;1;70;RANDOM-FOREST;F1_WEIGHTED;0.9210829966671302
1;1;70;NEURAL-NETWORK;F1_WEIGHTED;0.9532479096785097
1;1;70;KMEANS-RF;F1_WEIGHTED;0.924658061333256
1;1;70;LADDER-NETWORK;F1_WEIGHTED;0.7249924158916706
1;1;70;LABEL-SPREADING;F1_WEIGHTED;0.9854204668299387
1;1;77;RANDOM-FOREST;F1_WEIGHTED;0.9210829966671302
1;1;77;NEURAL-NETWORK;F1_WEIGHTED;0.9414873143936492
1;1;77;KMEANS-RF;F1_WEIGHTED;0.9179021874046058
1;1;77;LADDER-NETWORK;F1_WEIGHTED;0.7206957936569514
1;1;77;LABEL-SPREADING;F1_WEIGHTED;0.9854204668299387
